id,hand_player,opponent_high_card,opponent_high_card_suit,opponent_medium_card,opponent_medium_card_suit,opponent_low_card,opponent_low_card_suit,self_high_card,self_high_card_suit,self_medium_card,self_medium_card_suit,self_low_card,self_low_card_suit,opponent_round_0,self_round_0,opponent_round_1,self_round_1,opponent_round_2,self_round_2,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,opponent_points_envido,self_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,opponent_old_points,self_old_points,opponent_new_points,self_new_points,opponent_hand_balance,self_hand_balance,opponent_hand_quality,self_hand_quality
624,2,16,2,6,3,2,3,7,1,3,4,1,3,16,7,2,3,-46,1,1,2,1,2,0,0,5,30,1,2,1,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,18,20,19,21,1,1,24,14
625,1,24,3,16,2,6,1,24,4,8,1,8,3,6,8,16,8,24,24,2,1,0,0,0,0,3,23,0,0,0,NULL,NULL,NULL,1,2,0,0,0,0,0,2,2,19,21,19,23,0,2,46,48
626,2,42,1,16,1,16,3,16,4,7,2,2,2,-46,7,-46,1,-46,1,1,1,1,2,0,1,29,27,2,1,2,NULL,NULL,NULL,1,1,0,0,0,0,2,1,1,19,23,22,23,3,0,74,34
627,2,8,3,7,1,6,3,16,1,16,4,3,3,6,16,-10,16,-10,0,2,2,2,2,0,0,20,28,0,2,2,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,1,0,1,3,0,3,21,26
628,1,6,4,4,4,2,2,40,3,24,2,3,4,4,3,6,24,-10,40,1,2,2,1,0,2,25,30,0,2,5,NULL,NULL,NULL,2,2,0,0,0,0,0,2,2,1,3,1,10,0,7,12,47
629,2,7,3,7,2,3,2,42,4,2,1,1,1,3,1,7,42,-46,2,1,2,1,2,0,0,6,31,1,2,1,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,1,10,2,11,1,1,17,50
630,1,8,2,7,4,4,2,50,4,24,4,3,1,7,24,4,3,8,50,2,1,2,1,0,0,27,6,2,1,1,NULL,NULL,NULL,1,3,2,3,0,0,0,2,3,2,11,3,14,1,3,19,60
631,2,8,4,3,1,2,2,16,1,8,3,7,3,8,7,2,8,-15,1,1,2,2,0,0,1,31,22,2,1,1,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,3,14,4,15,1,1,13,26
632,1,8,1,3,3,1,2,24,3,24,1,12,3,8,12,-15,1,-15,1,2,2,2,1,0,0,30,3,2,1,1,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,4,15,5,16,1,1,12,39
633,2,40,2,24,3,3,1,52,2,8,1,1,4,3,1,24,52,40,8,1,2,1,1,0,0,30,21,2,1,1,NULL,NULL,NULL,1,2,2,2,1,2,0,1,4,5,16,10,16,5,0,67,77
634,1,7,3,6,1,3,2,50,1,7,4,2,1,6,7,3,2,7,50,2,1,2,1,0,0,26,5,2,1,1,NULL,NULL,NULL,2,3,0,0,0,0,0,2,2,10,16,11,18,1,2,16,58
635,2,52,1,24,4,4,3,40,4,16,2,8,1,24,8,4,16,52,40,1,2,1,1,0,0,30,7,2,1,1,NULL,NULL,NULL,1,2,2,3,1,3,0,1,4,11,18,16,18,5,0,80,72
636,1,8,2,8,4,1,4,16,1,8,2,4,4,1,4,8,8,-15,NULL,2,0,2,2,0,0,4,27,1,2,1,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,16,18,16,20,0,2,17,28
637,2,16,3,12,2,7,1,42,2,24,1,12,3,16,12,7,24,12,42,1,2,2,2,0,0,21,30,0,2,2,NULL,NULL,NULL,2,3,0,0,0,0,0,2,2,16,20,16,24,0,4,35,66
638,2,52,1,3,2,1,1,42,1,8,1,4,3,1,8,52,42,3,4,2,1,2,1,0,0,27,27,2,1,1,NULL,NULL,NULL,2,2,0,0,0,0,0,2,2,1,1,2,3,1,2,56,49
639,1,16,2,8,1,1,4,16,3,7,4,4,3,16,4,1,7,-10,0,1,2,2,2,0,0,4,22,1,2,1,NULL,NULL,NULL,1,2,2,3,0,0,0,2,2,2,3,2,6,0,3,25,28
640,2,7,2,6,3,4,1,40,4,3,2,1,3,4,1,6,40,-46,1,1,2,1,1,0,0,7,7,2,1,1,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,2,6,4,6,2,0,17,47
641,1,24,4,6,2,3,3,16,4,12,3,4,3,3,4,24,12,6,16,2,1,2,0,0,0,23,30,0,0,0,2,NULL,NULL,2,2,0,0,0,0,0,2,2,4,6,4,11,0,5,33,26
642,2,24,4,12,4,2,3,52,3,6,1,6,1,12,6,2,6,24,52,1,2,2,1,0,0,28,21,2,1,1,NULL,NULL,NULL,2,2,0,0,0,0,0,2,2,4,11,5,13,1,2,38,70
643,1,16,2,6,2,3,4,8,2,3,1,3,3,16,3,6,8,-46,3,1,2,1,0,0,0,28,6,0,0,0,1,NULL,NULL,1,3,0,0,0,0,2,1,1,5,13,9,13,4,0,25,17
644,2,12,2,3,1,1,2,24,2,16,4,12,3,1,24,-15,1,-15,1,2,2,2,1,0,0,27,3,2,1,1,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,9,13,10,14,1,1,16,39
645,1,24,4,24,3,2,1,12,1,8,3,6,4,-46,1,-46,1,-46,1,1,1,1,0,0,0,5,1,0,0,0,NULL,NULL,NULL,1,1,0,0,0,0,2,1,1,10,14,11,14,1,0,50,42
646,2,8,3,6,3,3,2,42,1,16,1,2,1,3,16,-15,1,-15,1,2,2,2,2,0,0,26,32,0,2,2,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,11,14,11,17,0,3,17,50
647,1,8,1,2,2,1,4,24,4,16,3,7,1,-10,1,-10,1,-10,1,2,2,2,0,0,0,5,3,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,11,17,11,18,0,1,11,33
648,2,16,1,7,2,3,2,24,2,12,3,6,2,3,24,16,12,7,6,2,1,1,1,0,0,26,21,2,1,1,NULL,NULL,NULL,2,2,0,0,0,0,0,1,2,11,18,14,18,3,0,26,37
649,1,16,1,6,3,4,3,24,3,24,2,7,2,16,24,-15,1,-15,1,2,2,2,1,0,0,27,23,0,1,2,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,14,18,16,19,2,1,26,37
