,id,hand_player,opponent_high_card,opponent_high_card_suit,opponent_medium_card,opponent_medium_card_suit,opponent_low_card,opponent_low_card_suit,self_high_card,self_high_card_suit,self_medium_card,self_medium_card_suit,self_low_card,self_low_card_suit,opponent_round_0,self_round_0,opponent_round_1,self_round_1,opponent_round_2,self_round_2,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,opponent_points_envido,self_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,opponent_old_points,self_old_points,opponent_new_points,self_new_points,opponent_hand_balance,self_hand_balance,opponent_hand_quality,self_hand_quality
791,833,2,24,4,8,2,2,3,50,1,7,4,3,1,9,11,10.0,10.0,11,9.0,2,1,1,0,0,0,5,6,0,0,0,,,,2,1,1,2,2,3,0,1,4,12,9,16,9,4,0,34,61
792,834,1,7,3,4,2,3,4,52,4,6,1,1,1,8,9,8.0,9.0,8,9.0,2,2,2,1,0,0,7,25,0,2,2,,,,0,0,0,0,0,0,0,2,1,16,9,16,12,0,3,14,57
793,835,2,50,4,6,3,2,3,16,4,6,4,3,2,8,10,8.0,1.0,8,1.0,1,1,1,0,0,0,21,6,0,0,0,,,,1,1,0,0,0,0,2,1,1,16,12,17,12,1,0,58,25
794,836,1,24,4,16,3,8,1,42,2,7,1,1,1,11,11,9.0,10.0,10,9.0,2,1,1,0,0,0,3,31,0,0,0,2.0,,,1,1,2,2,1,2,0,1,4,17,12,21,15,4,3,48,59
795,837,2,50,4,16,3,8,1,40,1,24,2,3,1,11,10,10.0,11.0,9,9.0,1,2,1,0,0,2,2,29,1,2,1,,,,2,1,1,1,2,2,0,1,4,21,15,25,16,4,1,74,59
796,838,1,8,3,8,2,3,1,24,2,16,1,2,3,9,9,8.0,1.0,8,1.0,1,1,1,0,0,1,26,25,0,1,3,,,,1,2,0,0,0,0,2,1,1,25,16,29,16,4,0,19,34
797,840,1,16,2,8,1,2,3,8,4,6,2,4,4,11,9,10.0,1.0,8,1.0,1,1,1,0,0,0,5,7,0,0,0,,,,1,1,0,0,0,0,0,1,2,0,0,2,0,2,0,26,20
798,841,2,52,1,12,3,1,3,8,2,7,3,2,4,10,10,11.0,1.0,8,1.0,1,1,1,0,0,0,4,20,0,0,0,,,,1,1,0,0,0,0,0,1,2,2,0,4,0,2,0,65,22
799,842,1,42,1,24,2,1,1,40,3,16,2,6,2,10,11,11.0,10.0,9,9.0,2,1,2,0,0,0,7,27,0,0,0,,,,1,1,2,2,0,0,0,2,3,4,0,4,3,0,3,67,70
800,843,2,42,1,40,4,6,2,52,2,24,1,6,2,10,10,11.0,11.0,9,9.0,1,2,0,0,0,0,7,23,0,0,0,,,,1,1,0,0,0,0,0,1,2,4,3,6,3,2,0,88,98
