,id,hand_player,opponent_high_card,opponent_high_card_suit,opponent_medium_card,opponent_medium_card_suit,opponent_low_card,opponent_low_card_suit,self_high_card,self_high_card_suit,self_medium_card,self_medium_card_suit,self_low_card,self_low_card_suit,opponent_round_0,self_round_0,opponent_round_1,self_round_1,opponent_round_2,self_round_2,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,opponent_points_envido,self_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,opponent_old_points,self_old_points,opponent_new_points,self_new_points,opponent_hand_balance,self_hand_balance,opponent_hand_quality,self_hand_quality
2689,2852,1,42,1,8,4,3,2,24,1,16,4,1,4,10,10,9.0,9.0,11,9.0,2,1,1,1,0,0,27,27,0,1,2,,,,1,2,0,0,0,0,0,1,2,18,10,22,10,4,0,53,33
2690,2853,2,24,4,12,3,3,2,7,2,7,1,7,4,10,9,9.0,9.0,11,9.0,1,2,1,0,0,2,6,0,1,2,1,,,,1,3,0,0,0,0,0,1,2,22,10,24,11,2,1,39,26
2691,2854,1,52,1,16,1,6,4,24,1,8,4,3,3,9,10,10.0,9.0,11,11.0,2,1,1,0,0,0,23,23,0,0,0,1.0,,,2,2,1,3,0,0,0,1,3,0,0,6,0,6,0,74,43
2695,2858,1,16,2,7,1,7,2,50,4,12,4,2,4,9,10,9.0,9.0,11,11.0,2,1,2,0,0,0,2,26,0,0,0,,,,2,2,1,3,0,0,0,2,3,9,5,9,8,0,3,30,59
2704,2867,1,24,3,6,4,6,4,24,1,16,4,3,1,9,10,9.0,9.0,11,11.0,2,1,0,0,0,0,3,25,0,0,0,,,,1,3,2,3,1,3,0,2,4,22,21,22,24,0,3,36,33
2707,2871,2,52,1,6,4,3,4,8,1,8,3,7,2,9,10,11.0,10.0,10,9.0,2,1,2,1,0,0,21,0,2,1,1,,,,1,3,2,3,0,0,0,2,3,4,1,5,4,1,3,61,21
2708,2872,1,40,2,12,3,1,3,42,2,7,1,4,3,9,9,10.0,10.0,11,11.0,2,1,2,0,0,1,28,27,0,1,3,,,,1,3,0,0,0,0,0,2,2,5,4,8,6,3,2,53,58
2710,2874,1,42,1,16,3,3,1,24,3,6,3,2,2,9,10,10.0,9.0,11,11.0,2,1,1,1,0,0,28,5,2,1,1,,,,1,3,0,0,0,0,0,1,2,10,7,13,7,3,0,61,42
2711,2875,2,40,2,12,2,3,1,50,3,16,4,2,4,9,10,10.0,9.0,11,11.0,2,1,2,2,0,1,33,26,2,1,2,,,,1,3,2,3,0,0,0,2,3,13,7,15,10,2,3,55,64
2716,2881,1,24,4,6,3,4,4,50,2,16,4,16,2,9,9,11.0,9.0,10,11.0,2,1,2,2,0,0,7,23,1,2,1,,,,1,3,2,3,0,0,0,2,3,1,6,1,10,0,4,34,72
2717,2882,2,50,4,6,4,1,3,8,3,8,1,7,3,9,10,11.0,10.0,10,9.0,2,1,2,1,0,0,25,20,2,1,1,,,,1,3,2,3,0,0,0,2,3,1,10,2,13,1,3,57,21
